seed,sheet_name,variant,mae,rmse,mape,smape,directional_accuracy,roi_proxy,n_obs
11,360noscope420blazeit,V0,0.07539595186477631,0.07954210141301792,78.09084484900278,128.8912090878333,0.5882352941176471,-0.07062016256439962,17
11,360noscope420blazeit,V1,0.06969072185056102,0.07562301029923307,72.55630694734205,124.44502121550094,0.5882352941176471,-0.07062016256439962,17
11,360noscope420blazeit,V2,0.039777369186886645,0.05036823231023183,39.827644260523876,44.108456573543144,0.5882352941176471,-0.014443662382765359,17
11,360noscope420blazeit,V3,0.038479055389794736,0.04819681748827441,42.07448908697115,36.148807309906566,0.47058823529411764,0.01686702917055541,17
11,888token,V0,0.028694181463530956,0.03128074307889321,29.84418558754019,25.154868622140057,0.35294117647058826,-0.009244612319318456,17
11,888token,V1,0.037294379680397935,0.046292972996228365,38.04684579894899,30.556170214912537,0.47058823529411764,-0.014346616712369867,17
11,888token,V2,0.017499368968396812,0.022168620817416888,18.3188753855703,15.970856070641643,0.6470588235294118,0.05490302108189798,17
11,888token,V3,0.014296004762381428,0.018484156712557803,13.378238283106757,13.84845834311324,0.6470588235294118,0.022734154377206193,17
11,abi,V0,0.007377779687976123,0.007640281401794291,59.08613154636315,44.24893725388497,0.29411764705882354,-0.04825502065331623,17
11,abi,V1,0.032032048420333005,0.049506410033467924,238.53118408352748,140.9748250804556,0.47058823529411764,-0.054013377905328994,17
11,abi,V2,0.005917391321877288,0.006201075150870762,47.473989179929866,37.195008967163204,0.29411764705882354,-0.04825502065331623,17
11,abi,V3,0.0024975227748828006,0.0027661536156165256,19.661838478207788,18.756249210219767,0.5294117647058824,0.0005784867593297974,17
11,ai16z,V0,0.1557646362056413,0.17785852542000305,26.246712213090884,21.883456544287107,0.5294117647058824,0.009861114104057274,17
11,ai16z,V1,0.18207480322590464,0.21127401581536104,31.23141637172916,25.04231564168031,0.47058823529411764,-0.00752575866733041,17
11,ai16z,V2,0.4219395851749409,0.47767885407525457,57.73735454184739,43.30141416626543,0.35294117647058826,-0.04897856499297606,17
11,ai16z,V3,0.24713377850548432,0.27148503367543725,37.88290328244961,30.324020486113984,0.35294117647058826,-0.06259958704143466,17
11,aicrystalnode,V0,0.004961956219115988,0.0049619660356859776,8722.740034344552,195.4039195450189,0.29411764705882354,-0.06735709260621926,17
11,aicrystalnode,V1,5.8371176470588245e-05,5.91096972734991e-05,100.0,200.0,0.7058823529411765,0.06735709260621926,17
11,aicrystalnode,V2,0.0007371553644809467,0.0007440432651894751,1310.954757956953,172.1529663984468,0.29411764705882354,-0.06735709260621926,17
11,aicrystalnode,V3,7.870379473306794e-05,9.829172794780895e-05,142.10979753414728,74.10960929624851,0.11764705882352941,-0.08017961509574423,17
11,aiinu,V0,0.010030456400400178,0.010079049378305355,114.68397971826047,72.16265084541601,0.058823529411764705,-0.055078683179285014,17
11,aiinu,V1,0.005573813729701935,0.006467804555155596,62.88253204040022,100.85587131895504,0.6470588235294118,0.017800661674743472,17
11,aiinu,V2,0.007564435494315427,0.0076499127154364185,86.83795441800181,59.72699072184015,0.058823529411764705,-0.055078683179285014,17
11,aiinu,V3,0.0010660075107813765,0.0013347329486402674,12.343279900694249,13.182096147291734,0.7058823529411765,0.02930243923331053,17
