sheet_name,model,note,mae,rmse,mape,smape,directional_accuracy,roi_proxy,n_obs
360noscope420blazeit,persistence,ok,0.030034735294117643,0.03416018719761182,33.39407625930477,32.22516197410586,0.0,0.0,17
360noscope420blazeit,arima,ok,0.022084531109221452,0.026964620434211262,27.285445019968535,23.281923519302815,0.6470588235294118,0.16955028228096564,17
360noscope420blazeit,prophet,ok,0.0188833164932513,0.024352386976583516,18.222662279385677,19.702364233709652,0.8235294117647058,0.26061888666882593,17
360noscope420blazeit,random_forest,ok,0.02209490902941178,0.026265112359064324,25.975251815565407,23.361699634803372,0.6470588235294118,0.14724950856160915,17
360noscope420blazeit,xgboost,ok,0.021180202165255825,0.026166476794571854,25.21922507613686,22.42670556117901,0.6470588235294118,0.14724950856160915,17
360noscope420blazeit,gru,gru_fallback_mlp,0.23713330708313068,0.32687510055551966,246.78244284336782,124.01479312673406,0.29411764705882354,-0.044518992280641975,17
360noscope420blazeit,lstm,lstm_fallback_mlp,0.3546347135336459,0.42407838048611135,393.73581342913815,165.07337865170396,0.35294117647058826,-0.13835710453315514,17
888token,persistence,ok,0.012642729411764711,0.015979627046630716,11.917156079995666,11.406464659157061,0.0,0.0,17
888token,arima,ok,0.023921504919125536,0.026744503859518487,25.069871103999255,21.522104740583096,0.47058823529411764,0.02298032932177564,17
888token,prophet,ok,0.049081494386689614,0.05196854259581393,50.44516288902563,38.96486121839885,0.29411764705882354,-0.032900303730824,17
888token,random_forest,ok,0.014715493352941174,0.01729811245887225,15.43381887238328,13.875398558219466,0.47058823529411764,0.02298032932177564,17
888token,xgboost,ok,0.018374215731738596,0.020806647064170892,18.942091520094177,16.84528122609368,0.47058823529411764,0.02298032932177564,17
888token,gru,gru_fallback_mlp,0.035930083124252936,0.04188431969426801,35.09471823154935,30.911252905732077,0.4117647058823529,0.004112491920971119,17
888token,lstm,lstm_fallback_mlp,0.031218308183231007,0.03781458416958556,32.22197011499855,26.11013847996635,0.47058823529411764,0.02298032932177564,17
abi,persistence,ok,0.0013087223529411763,0.0016482095499698343,10.21853541834807,9.750208191897908,0.0,0.0,17
abi,arima,ok,0.0018839605231446917,0.002389485237138058,15.993220854306045,14.178196109267226,0.47058823529411764,0.006228450953544566,17
abi,prophet,ok,0.0023222594375716028,0.0026386710699141465,16.670025475421664,18.546923883096206,0.7058823529411765,0.04825502065331623,17
abi,random_forest,ok,0.0024384862941176488,0.0030217881848570837,20.595688694443393,17.787038294129236,0.35294117647058826,-0.033502839125012916,17
abi,xgboost,ok,0.0024013847678488846,0.0029473396793857553,20.17132568557977,17.559572904115612,0.35294117647058826,-0.033502839125012916,17
abi,gru,gru_fallback_mlp,0.034155941647099654,0.04427205641801038,266.17850166471743,108.06698177312077,0.29411764705882354,-0.07949180144484205,17
abi,lstm,lstm_fallback_mlp,0.020468220281282687,0.023932816108520195,154.79429649045113,92.53426056934677,0.29411764705882354,-0.032163204675171336,17
ai16z,persistence,ok,0.19572441176470587,0.2370471881480191,27.813423057399312,23.661014922526444,0.0,0.0,17
ai16z,arima,ok,0.42357797742419306,0.4748886905445031,71.92410933648061,47.34027824308747,0.35294117647058826,-0.06259958704143466,17
ai16z,prophet,ok,1.1864157351758502,1.233137095190941,189.3255067380931,89.54878783124114,0.17647058823529413,-0.16740522235804953,17
ai16z,random_forest,ok,0.5766449652941187,0.6066504600076952,92.84634938874112,58.686249280481704,0.23529411764705882,-0.13043398317320753,17
