sheet_name,rows_before_filtering,rows_after_filtering,non_null_dates
feces,86,85,85
fefeoneth,86,85,85
fegtoken2,86,74,74
feistydogenft,86,85,85
fighttomaga,86,85,85
fijiexe,81,81,81
fine2,84,72,72
firstconvictedraccon,54,54,54
firstreply,86,85,85
fishkoin,86,84,84
fisttrumppump,86,85,85
flatearthcoin,78,78,78
flaviaisonline,86,84,84
fleabone,78,78,78
floofnoodles,74,72,72
floos,86,85,85
floppacat,86,82,82
florkcto,37,37,37
flowerai,70,70,70
fofar,86,85,85
fomo3d,54,54,54
fomoradioai,33,33,33
forest,86,85,85
forky2,33,33,33
freeshaynecoplan,77,77,77
freespeech2,36,36,36
frensofelon,58,57,57
fric,54,54,54
frodothevirtualsamurai,50,50,50
frog3,84,81,81
frogevip,54,46,46
frox,74,73,73
fu,86,84,84
fug,86,55,55
fug2,83,80,80
fuku2,74,74,74
furnancialadvisor,78,78,78
fxn,62,62,62
gamestop,86,85,85
gameswift,86,85,85
gdog,86,85,85
gegagedigedagedago,74,72,72
gemini2,83,80,80
gemxbt,50,50,50
generationalwealth3,84,81,81
genzquant,76,76,76
gikocat,86,85,85
ginnan,67,65,65
ginnanthecat,86,85,85
glorp,78,77,77
glp1,70,70,70
gluteusmaximusbyvirtuals,39,39,39
gme,86,85,85
gmika,86,84,84
goatseusactii,83,69,69
gobi,70,70,70
gondola,86,84,84
gooby,86,83,83
goodboy,42,41,41
goodmorning3,82,80,80
goofy2,31,31,31
gottitoken,86,83,83
gou,86,84,84
gout,74,74,74
gpuairich,49,49,49
griffainnewhedgefund,41,41,41
groggobymattfurie,86,84,84
grok2,85,83,83
groyper,86,85,85
grumpycatcoin,74,74,74
gua,71,71,71
guacamole,86,85,85
gummy,86,85,85
h2w6gm6jz,46,46,46
habibisol,86,85,85
hahayes,85,83,83
halforangedrinkinglemonade,86,84,84
hami,86,85,85
hana,86,85,85
hanbao,83,81,81
happycat2,70,70,70
harambe2,80,80,80
harold,86,84,84
haroldonsol,74,73,73
harrypottertrumphomersimpson777inu,86,85,85
hasbullascat,82,81,81
hawk2,86,85,85
heeeheee,86,84,84
hege,86,85,85
hehecat,86,85,85
hemule,86,85,85
henlo,77,13,13
hermythestallion,57,57,57
highaf,67,66,66
hisnamegort,78,78,78
historyofpepe,86,85,85
hogefinance,86,84,84
honk,86,85,85
hoppymeme,63,63,63
horny,55,55,55
hotdoge2,50,50,50
huahua,68,68,68
hund,86,85,85
