variant,seed,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,mase_mean,directional_accuracy_mean,n_tokens
V0,11,0.006667142071186419,0.005079412996366465,0.006871386546922309,0.005527639335160314,128.35511629118318,60.896485295808866,0.006667142071186419,0.4045454545454546,5
V0,17,0.02140866254952235,0.015082076766968627,0.0214747829772068,0.015216892941899887,156.0950638715461,46.75866729659552,0.02140866254952235,0.20454545454545453,5
V0,23,0.007399230613636364,0.012099151984810529,0.007510073402346186,0.012328507044716833,200.0,0.0,0.007399230613636364,0.7954545454545455,5
V1,11,0.00964630656959432,0.010852283290759615,0.010548304183615683,0.010944496704623385,194.07783654452874,10.053529250527038,0.00964630656959432,0.675,5
V1,17,0.007399230613636364,0.012099151984810529,0.007510073402346186,0.012328507044716833,200.0,0.0,0.007399230613636364,0.7954545454545455,5
V1,23,0.006449688466426388,0.0026703151504118695,0.00754089673234858,0.0015878951370080544,155.63891162349051,78.42816726205287,0.006449688466426388,0.5659090909090909,5
V2,11,0.0033693675924947306,0.0061261966325322405,0.003989552042451901,0.0074300583810560225,77.47246506212127,63.345705034702505,0.0033693675924947306,0.2506993006993007,5
V2,17,0.0033693675924947306,0.0061261966325322405,0.003989552042451901,0.0074300583810560225,77.47246506212127,63.345705034702505,0.0033693675924947306,0.2506993006993007,5
V2,23,0.0033693675924947306,0.0061261966325322405,0.003989552042451901,0.0074300583810560225,77.47246506212127,63.345705034702505,0.0033693675924947306,0.2506993006993007,5
V3a,11,0.0033727433863636365,0.006415325393088182,0.0035888069348264614,0.006851610873463191,70.54467316622927,55.368568449408706,0.0033727433863636365,0.2506993006993007,5
V3a,17,0.0033727433863636365,0.006415325393088182,0.0035888069348264614,0.006851610873463191,70.54467316622927,55.368568449408706,0.0033727433863636365,0.2506993006993007,5
V3a,23,0.0033727433863636365,0.006415325393088182,0.0035888069348264614,0.006851610873463191,70.54467316622927,55.368568449408706,0.0033727433863636365,0.2506993006993007,5
V3b,11,0.0033118627736255027,0.006161137971250487,0.003931416466394567,0.007465238517533272,71.75895758556703,56.58166036596008,0.0033118627736255027,0.2506993006993007,5
V3b,17,0.0033118627736255027,0.006161137971250487,0.003931416466394567,0.007465238517533272,71.75895758556703,56.58166036596008,0.0033118627736255027,0.2506993006993007,5
V3b,23,0.0033118627736255027,0.006161137971250487,0.003931416466394567,0.007465238517533272,71.75895758556703,56.58166036596008,0.0033118627736255027,0.2506993006993007,5
