variant,mae_median,mae_iqr,mae_mean,mae_std,rmse_median,rmse_iqr,smape_median,smape_iqr,mase_median,mase_iqr,directional_accuracy_median,n_tokens,n_seeds
V0,0.007496119999999999,0.01274142797010484,0.011825011744781712,0.012352660775894276,0.007500096750382112,0.013246286043315757,185.0488782225933,67.0432004548145,,,0.5,5,3
V1,0.0069360875,0.006149919995155916,0.007831741883219024,0.008610526003053778,0.007500096750382112,0.0059368077046937934,200.0,11.917345717738897,,,0.8181818181818182,5,3
V2,0.0005250741909987217,0.0009152231290508535,0.0033693675924947306,0.005479436845548956,0.0005266717325798082,0.0009390813825974462,75.6426618229515,53.55214742142897,,,0.23076923076923078,5,3
V3a,0.0004226886363636363,0.0006519762499999992,0.003372743386363636,0.005738041470690294,0.00045111495285825813,0.0006138461707458338,65.78457688735129,42.08351393240742,,,0.23076923076923078,5,3
V3b,0.0004226886363636363,0.000956625244640594,0.0033118627736255027,0.005510689328988494,0.0004254203792907776,0.0009390813825974462,65.78457688735129,53.55214742142897,,,0.23076923076923078,5,3
