variant,modules_included,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,mase_mean,directional_accuracy_mean,n_tokens,n_seeds,significance_vs_previous_variant,holm_p_value
V0,price-only LSTM,4.053921788083445,72.77832922395288,4.738073063628098,83.93814394966881,153.2312763676472,56.09005875972519,45.652082653892464,0.4201960784313726,200,3,,
V1,V0 + sentiment fusion,0.6981421745835082,10.29888657705563,0.7186278324726076,10.459616226225773,173.48808957309902,44.17073101255483,21.102911709472163,0.5811764705882354,200,3,V0,1.6251289183035042e-13
V2,V1 + risk-aware graph + MIS support diversification,0.3005106638302783,3.9171194668252327,0.30817546322686945,3.9892586826536105,64.55169908293503,33.89501810583896,4.481575408747286,0.2917647058823529,200,3,V1,9.722225051409796e-74
V3,V2 + MAML adaptation / full PRISM,0.12305823887870064,1.519246737238469,0.14787997547385545,1.8150098636071115,53.93250491757226,29.409720484670395,5.66180681501238,0.489313725490196,200,3,V2,6.672912414367634e-44
