model,cum_return_proxy,mean_return_proxy,sharpe_ratio_proxy,sortino_ratio_proxy,max_drawdown_proxy,hit_rate,turnover_proxy,var_95,cvar_95,downside_deviation,volatility_of_returns
PRISM,0.11917757024208164,0.00019862928373680274,0.0014820468292239296,0.002347855297603497,-1.0043329416399156,0.49833333333333335,0.9482470784641068,-0.163017623170409,-0.2358785217380916,0.084600309030777,0.134023621804727
arima,-3.2850591911612748,-0.016425295955806374,-0.09451002680481518,-0.35775725877577796,-0.995719976673045,0.27,0.8140703517587939,-0.1482300621265799,-0.16314965664929099,0.045911845400461386,0.17379421539820708
gru,-2.6259278314548347,-0.013129639157274173,-0.08949629646300565,-0.07806087185428635,-1.3831322406471973,0.45,1.0050251256281406,-0.15234918852999746,-0.34295854658546815,0.16819744444800508,0.14670594958866778
lstm,-3.3570482737036427,-0.016785241368518212,-0.14498101522211002,-0.36404993901437155,-0.992761238194709,0.335,0.9246231155778895,-0.14796479022472636,-0.17065351590222022,0.046106974812199004,0.11577544372139571
persistence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prophet,8.750758837097418,0.04375379418548709,0.24677545495124545,0.6142976397214237,-0.5310277730947196,0.645,0.9748743718592965,-0.13458526201021834,-0.21242362918448382,0.07122572407298991,0.1773020505387433
random_forest,-5.025239697022288,-0.02512619848511144,-0.1451832860474946,-0.449379150066708,-0.9991704521250427,0.25,0.7035175879396985,-0.1605599420315382,-0.21053033019168774,0.055913138118182805,0.17306536564334113
xgboost,-5.778902927428941,-0.028894514637144705,-0.1685158381732316,-0.6180240565640933,-0.9995874909852335,0.26,0.7738693467336684,-0.16044313680611866,-0.18319333139945737,0.04675305812169166,0.17146468219468847
