model,mae_mean,mae_std,mae_median,rmse_mean,mape_mean,smape_mean,roi_mean,n_tokens,model_label,actual_backend,fallback_used,model_display,rank_mae,rank_rmse,mase_mean,directional_accuracy_mean,directional_accuracy_std,rmse_std,smape_std
prophet,0.0882215860717835,0.8809435066230006,0.0006397603530945,0.1028345445123864,94.21133413505464,59.67369931659251,0.0437537941854871,200,prophet,prophet,False,prophet,1,1,2.758022650939535,0.5829411764705882,0.25110837398568203,,
persistence,0.1055943012323529,1.381218421296886,0.0002995967647058,0.1303490646761433,22.119342359871087,18.01607770667264,0.0,200,persistence,naive_last_value,False,persistence,2,2,1.0902053001364502,0.04117647058823529,0.16845527601632354,,
PRISM,0.1230582388787006,1.5205143609360474,0.00094003203303,0.1478799754738554,95.68178935362704,53.93250491757226,0.0001986292837368,200,PRISM,prism_v3,False,PRISM,3,3,,,,,
random_forest,0.2619094189174672,3.392273839031059,0.0005843493117647,0.279202950548647,75.86363899408009,43.74343895738989,-0.0251261984851114,200,random_forest,sklearn_random_forest,False,random_forest,4,4,2.8165843833626667,0.3529411764705882,0.19919680139641882,,
arima,0.3139554265800526,4.048473390181119,0.0006636535439221,0.3282884947582175,126.4308080624688,42.82123756064023,-0.0164252959558063,200,arima,statsmodels_arima,False,arima,5,5,9.091392138315483,0.3641176470588235,0.19853140976211844,,
xgboost,0.3718755349233269,4.933573061464377,0.0006590656381042,0.3951984037412891,101.2789061641336,52.74845850687007,-0.0288945146371447,200,xgboost,xgboost_xgbregressor,False,xgboost,6,6,3.581684378019666,0.3317647058823529,0.19806228641022836,,
gru,0.396448347230446,4.357035510348851,0.0358093462944338,0.4164915982472562,23440488.004940107,169.9409437126623,-0.0131296391572741,200,gru,sklearn_mlp_gru_surrogate,True,gru (fallback),7,7,2735902.4412885252,0.48588235294117643,0.21845127083591348,,
lstm,0.4026218998966421,4.621476949754645,0.0223095114574655,0.4194874900335851,9053316.049986592,159.85966316146343,-0.0167852413685182,200,lstm,sklearn_mlp_lstm_surrogate,True,lstm (fallback),8,8,963856.4934193273,0.39852941176470585,0.20397857177163778,,
