model,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,mase_mean,directional_accuracy_mean,n_tokens,n_seeds,model_display,rank_mae,rank_rmse
Persistence,0.005709833002139965,0.018669337274020613,0.006851240232919113,0.022253375376499837,21.56952702036284,10.040396860375104,0.8478215426514348,0.0078125,48,3,Persistence,1,1
XGBoost,0.017568329648099026,0.06416238569942331,0.01875933051437347,0.06784716805200583,47.834654391348536,30.03317492243857,1.8068942749433299,0.3826048695993549,48,3,XGBoost,2,2
Random Forest,0.02015459761384231,0.07921365711377715,0.02091384932235417,0.08111315421473879,49.95639299592191,29.596437872824442,1.8199887805821109,0.3455179567618293,48,3,Random Forest,3,3
ARIMA,0.024297088479986313,0.0896912304483879,0.024958548304109467,0.09150780205350582,54.83842846417953,33.43768819179686,2.2785177296454915,0.3289932766035707,48,3,ARIMA,4,4
Prophet,0.024297088479986313,0.0896912304483879,0.024958548304109467,0.09150780205350582,54.83842846417953,33.43768819179686,2.2785177296454915,0.3289932766035707,48,3,Prophet,4,4
BiLSTM,0.03224772822398603,0.08808820711991992,0.03301241786345598,0.08988954624618488,132.78701292673523,67.66033086183319,28052.765538507298,0.45199164261664265,48,3,BiLSTM,6,6
LSTM,0.0454726928684821,0.09239688429929951,0.046128536534172114,0.09405017160600895,131.0026156772027,67.37132330727435,62824.466304238435,0.427686087061087,48,3,LSTM,7,7
GRU,0.051697279575568814,0.0988640806591994,0.052599905453555695,0.10060235542418998,140.51753253442033,64.46696617992794,41391.37017181584,0.4404175685425685,48,3,GRU,8,8
