variant,mae_median,mae_iqr,mae_mean,mae_std,rmse_median,rmse_iqr,smape_median,smape_iqr,mase_median,mase_iqr,directional_accuracy_median,n_tokens,n_seeds
V0,0.00544092627015183,0.02496948565321388,0.03160148570700249,0.08667585104441639,0.0054409751562062274,0.02532281696385407,184.4681914839802,69.99773615740844,,,0.35294117647058826,48,3
V1,0.0030445446893327182,0.011480856055020392,0.027563920176528957,0.0874816778028742,0.004912338087968764,0.01716084101983944,197.0068612775125,27.171995608109,,,0.6,48,3
V2,0.0011224495485205955,0.00401595373137359,0.026073169186680463,0.10458064983363767,0.0011656053003808488,0.004985564294745184,72.15069235400574,43.69237566006232,,,0.26666666666666666,48,3
V3,0.0013671300000000005,0.0077638675,0.03134580083775651,0.1231513721395279,0.0015027685003837072,0.011555967649020166,77.06024706883544,33.82825192574178,,,0.3,48,3
