model,cum_return_proxy,mean_return_proxy,sharpe_ratio_proxy,sortino_ratio_proxy,max_drawdown_proxy,hit_rate,var_95,cvar_95,downside_deviation,volatility_of_returns
ARIMA,-8.802615635252607,-0.06112927524480977,-0.5513229843570604,-0.7948608062608957,-0.9999605914344221,0.3541666666666667,-0.23642271518919958,-0.25144700634042305,0.07690563525501774,0.1108774293458802
BiLSTM,-2.4053422802442705,-0.016703765835029655,-0.10050898791229468,-0.21649611048398934,-0.9930103122467956,0.4652777777777778,-0.25572956455309387,-0.2578826227950545,0.07715503894128832,0.16619176236861083
GRU,-6.79564186195539,-0.04719195737469021,-0.2905812328057644,-0.5058766072969523,-0.9998847930249176,0.4236111111111111,-0.25967702348043165,-0.31881401358079386,0.09328748689695444,0.1624053863321418
LSTM,-4.1939382431191055,-0.029124571132771566,-0.17590408044229147,-0.37037015308527754,-0.9988870841533117,0.4166666666666667,-0.25572956455309387,-0.26300366788194673,0.07863638819207348,0.16557075344438307
Persistence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prophet,-8.802615635252607,-0.06112927524480977,-0.5513229843570604,-0.7948608062608957,-0.9999605914344221,0.3541666666666667,-0.23642271518919958,-0.25144700634042305,0.07690563525501774,0.1108774293458802
Random Forest,-6.522112764100003,-0.04529244975069446,-0.40138537692831544,-0.6061959879302061,-0.9995715972518551,0.3541666666666667,-0.22872520123834722,-0.24195545279647512,0.07471585205527485,0.11284030847686653
XGBoost,-4.30592378992751,-0.029902248541163263,-0.25762850713066865,-0.37036685440130984,-0.996428952866308,0.4375,-0.22872520123834722,-0.24794849776038233,0.08073683750534213,0.11606731286921172
