variant,modules_included,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,mase_mean,directional_accuracy_mean,n_tokens,n_seeds
V0,Price-only LSTM,0.03160148570700249,0.08667585104441639,0.03211467151601147,0.08794808046795971,159.35605630347075,50.96361950569501,,0.4120845918333663,48,3
V1,V0 + sentiment fusion,0.027563920176528957,0.0874816778028742,0.030231954517818307,0.08905077160560322,171.96352436117454,46.47341035038315,,0.5980993775877353,48,3
V2,V1 + risk-aware graph + MIS support diversification,0.026073169186680463,0.10458064983363767,0.026842475566239248,0.10554967570829395,77.96019497131776,41.54450153880888,,0.2937236952861953,48,3
V3,Full PRISM + first-order MAML adaptation,0.03134580083775651,0.1231513721395279,0.034001079756994734,0.12445878028289856,84.7170752894721,37.70333182941745,,0.3244796308674985,48,3
