sheet_name,seed,lookback,train_ratio,n_features,fingerprint
duko,11,7,0.7,7,aecd14f5707d8035c658f6ec4e9ef5b4ffa623fcebb4cb3102599471343dd036
elgato,11,7,0.7,7,9034cb5b60943f26928d338ba896c1bf96a7e7c914a6c23bbcd0f52bfedadc62
elon,11,7,0.7,7,bc54904316694af9dc10a6e696e5a38c9050d8098487c62c0705e609f4716d68
eyeearn,11,7,0.7,7,65e81c1141b8591c12f69a75ef492987a98ea08799a7301ed08e5288ca2d77ae
feces,11,7,0.7,7,3e7b1dc647f87737d88d078b5259782ebb2ae717e96abb2df0f52aefce88292a
fefeoneth,11,7,0.7,7,c9c18b4bcf5f3707c7e083c56fc4f0e2625d1e287ed69917bcc30764f5d70164
feistydogenft,11,7,0.7,7,b5c8300925757f309612b5c05723423914ea353fb65b21a3b20feea9dfd0f226
fighttomaga,11,7,0.7,7,b3765513c46a650e434bd4d77e99002a2c2ec2d1d82e3379449b91b8661c9223
firstreply,11,7,0.7,7,6e2e39b4741bc39cd4d7ec7d4437c81101ac986dc2f2abb85377166cc3c84637
fisttrumppump,11,7,0.7,7,34e21e3078bd5c079eeb75c272a41e9376000314716d89027cd12be2dc09e210
floos,11,7,0.7,7,bd0a224266a623f366ba1fa8fddeb6b08b65fdc8e67c5430fcdbf2a4ea61bc13
fofar,11,7,0.7,7,e7b3dd6ad2c4e85051e0e53ad99f8bc1d96517a5a0916382eb15ee25dad986bd
forest,11,7,0.7,7,a460d5c9085242dbf7baa0236d320390feac05b86bf51c4944ea0c27b15f8f08
gamestop,11,7,0.7,7,322e073f6821574655bf63240512be4db09fca5784c1a8fe07a4b795362fbdfb
gameswift,11,7,0.7,7,519c6c86ca84b30a80a7f374ea44c745543306844bb1ef2c6f2ae15aeda3998f
gdog,11,7,0.7,7,b27c8637381220308b84f9cb8588b54fc826d32b7b11e09487c7a7d80091bb03
gikocat,11,7,0.7,7,34a078669f99b88184ca31a35089a291497968537ace8485416472eb93da751d
ginnanthecat,11,7,0.7,7,b730dba08995e80e49802a1447390af63d928e9d1f5910c7675c83303ba27ca4
gme,11,7,0.7,7,9c4167c34caebca6fce31c9a4bdd5d6919aa0591eec4ac601ca2d884799328ae
