feature,n,mean,std,min,25%,50%,75%,max
price,60431.0,0.9091826041152719,13.583125385378505,1e-08,0.00018461,0.00155956,0.006607755,381.571
volume,60431.0,1968437.7380084724,12191930.247639416,0.0,30538.5,175517.0,921001.0,648823000.0
return_1d,59550.0,0.0066346731747896105,0.8954569670126059,-0.9959685423915007,-0.10043905400773523,-0.019888218235387334,0.049979039965945216,184.21396250808016
