lookback,train_ratio,mae_mean,mae_std,mae_median,rmse_mean,smape_mean,n_tokens
7,0.7,0.1733406890654817,2.212587077880551,0.0005228544774604404,0.20160013107295968,32.55880607535464,200
7,0.8,0.18006219937571208,2.320505044899928,0.0005097504566497085,0.20097083831716783,33.6266987440706,200
7,0.9,0.13723545619905816,1.7262998810354278,0.00040015785786960993,0.15534179943552479,32.36584366650497,200
14,0.7,0.26673297638317267,3.4541040428617533,0.0004159998618294729,0.29122786603499184,34.37903550799161,200
14,0.8,0.21919027936460503,2.720074815307159,0.0004162073431658584,0.23907150674193048,33.839978902558705,200
14,0.9,0.1641026627546897,2.063855418633534,0.00034372676499367684,0.1779279889950673,30.99058272319094,200
21,0.7,0.10937524310718731,1.0630857030039371,0.000698090302197177,0.1311618328640716,53.42149810520316,200
21,0.8,0.12408515435812141,1.1608264363856189,0.0004442064656543438,0.1378300943746529,39.603657516211065,200
21,0.9,0.10902334726860173,1.1564401082387912,0.0003787267313229713,0.1321270599818601,35.39704841138782,200
