sheet_name,roi_proxy,rank_group
majorfrog,0.0754223149543105,top
zackmorris,0.07636443749816085,top
sharki,0.0780029294160985,top
npconsolana,0.10223018114583031,top
thelastplay,0.11206199076901835,top
jeoboden,0.12436608375985456,top
waffles,0.1396936889953313,top
habibisol,0.16248386622332184,top
luci,0.1694117395197659,top
inferno2,1.0532232983553989,top
deepworm,-0.15778939388035815,bottom
strategicbitcoinreserve,-0.12045127346177548,bottom
memesai,-0.11171138782019975,bottom
catalorian,-0.10595833239106202,bottom
lilyscoin,-0.09859591410893996,bottom
omega2,-0.09762117937439634,bottom
shoggoth,-0.09529840204323793,bottom
terminus2,-0.09480708552543142,bottom
suwi,-0.09417232128387369,bottom
billy,-0.09390731682037468,bottom
