model,mae_mean,mae_std,mae_median,rmse_mean,mape_mean,roi_mean,n_tokens
persistence,0.10538138023823528,1.381232832074922,0.0002880076470588236,0.13009975458535286,22.10144786987122,0.0,200
random_forest,0.261398257803054,3.3892802022842443,0.0005779478970588229,0.2789748836166298,74.94644702339369,-0.01817737819579617,200
xgboost,0.2635461641455654,3.41972956055343,0.0006017613777899172,0.2796437258315956,80.15818152907173,-0.01895106207537625,200
arima,0.3137227766150006,4.048490854729159,0.0006282225565526138,0.32801673156640376,126.61168578963841,-0.015880870887230964,200
gru,0.32566347724207373,3.8599320626594715,0.012541269506352284,0.34273320973839183,9274624.12847597,-0.027243847165297444,200
lstm,0.32566347724207373,3.8599320626594715,0.012541269506352284,0.34273320973839183,9274624.12847597,-0.027243847165297444,200
prophet,0.34146618404705875,4.401216939740763,0.0005997220588235294,0.3549098987853889,67.98190890875128,-0.021872971631038234,200
PRISM,21356.380166970597,155911.80210938866,2758.233794228002,26293.21490872735,5282613383181.972,0.022382664029630895,200
