sheet_name,seed,comparison,delta_mae
costcohotdog,23,V0_to_V1,0.0031225200186582383
crashout,11,V0_to_V1,0.02493558518768253
crashout,17,V0_to_V1,0.03882983796477214
crashout,23,V0_to_V1,-0.04229597408371588
csi888,11,V0_to_V1,0.04339265327282416
csi888,17,V0_to_V1,0.04215631315570505
csi888,23,V0_to_V1,-0.0011402840610006404
cumrocket,11,V0_to_V1,0.07280275983841043
cumrocket,17,V0_to_V1,0.03216509905067131
cumrocket,23,V0_to_V1,0.02179717780263539
dancingtriangle2,11,V0_to_V1,0.010970843092401792
dancingtriangle2,17,V0_to_V1,0.020440945000179882
dancingtriangle2,23,V0_to_V1,0.03779560492751098
darkmaga,11,V0_to_V1,0.019636160289111283
darkmaga,17,V0_to_V1,0.019711665019858302
darkmaga,23,V0_to_V1,0.007812093011643824
deepworm,11,V0_to_V1,-0.012346096855615931
deepworm,17,V0_to_V1,-0.017885402127686613
deepworm,23,V0_to_V1,-0.003659973089494707
degenspartanai,11,V0_to_V1,-0.015017997073438948
degenspartanai,17,V0_to_V1,-0.018788623585945567
degenspartanai,23,V0_to_V1,-0.006221584252967122
dejitarutsuka,11,V0_to_V1,0.011553350778130947
dejitarutsuka,17,V0_to_V1,0.009203879347322162
dejitarutsuka,23,V0_to_V1,0.002184128872689442
dinolfg,11,V0_to_V1,0.025729572963771163
dinolfg,17,V0_to_V1,0.017511124048555714
dinolfg,23,V0_to_V1,-0.014038045357995396
dogebonk,11,V0_to_V1,0.013748594155522634
dogebonk,17,V0_to_V1,-0.002309421877513089
dogebonk,23,V0_to_V1,0.01598427676619559
dogemascotshibu,11,V0_to_V1,0.017318496221519285
dogemascotshibu,17,V0_to_V1,0.02747232151929893
dogemascotshibu,23,V0_to_V1,-0.0007496803703920252
dogeonsolana,11,V0_to_V1,0.024848034284547654
dogeonsolana,17,V0_to_V1,-1.3001988502917006e-05
dogeonsolana,23,V0_to_V1,0.021765271057805333
doggo3,11,V0_to_V1,0.014885020591159388
doggo3,17,V0_to_V1,0.02969596299566215
doggo3,23,V0_to_V1,-0.000569270013021983
donaldtremp,11,V0_to_V1,-0.038141392757038414
donaldtremp,17,V0_to_V1,-0.014831598917172874
donaldtremp,23,V0_to_V1,0.01465156083066391
dorklord2,11,V0_to_V1,0.01833012482856517
