model,cum_return_proxy,mean_return_proxy,sharpe_ratio_proxy,sortino_ratio_proxy,max_drawdown_proxy,hit_rate,var_95,cvar_95,downside_deviation,volatility_of_returns,_disclaimer
V0,-0.2819626085823561,-0.01879750723882374,-0.11955751583383502,-0.3321521320037946,-0.5830086090682403,0.4666666666666667,-0.2059649884266547,-0.2059649884266547,0.05659306512778606,0.157225642467757,proxy metric — not executable trading P&L
V1,0.5538380191714638,0.03692253461143092,0.23146519193844245,0.9751621781585164,-0.2943883636932186,0.6666666666666666,-0.1962229593599163,-0.1962229593599163,0.037862968271754505,0.159516574834502,proxy metric — not executable trading P&L
V2,-0.9451708131017608,-0.06301138754011738,-0.43457462401021507,-0.8672582346847775,-0.6900381947559852,0.2,-0.2059649884266547,-0.2059649884266547,0.07265585383922027,0.14499555210714798,proxy metric — not executable trading P&L
V3a,-0.9451708131017608,-0.06301138754011738,-0.43457462401021507,-0.8672582346847775,-0.6900381947559852,0.2,-0.2059649884266547,-0.2059649884266547,0.07265585383922027,0.14499555210714798,proxy metric — not executable trading P&L
V3b,-0.9451708131017608,-0.06301138754011738,-0.43457462401021507,-0.8672582346847775,-0.6900381947559852,0.2,-0.2059649884266547,-0.2059649884266547,0.07265585383922027,0.14499555210714798,proxy metric — not executable trading P&L
