model,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,model_display
PRISM-V3b,0.0033118627736254598,0.006161137971250496,0.0039314164663944995,0.0074652385175332575,71.75895758556703,56.58166036596008,PRISM-V3b
PRISM-V2,0.003369367592494679,0.006126196632532254,0.00398955204245184,0.007430058381056005,77.47246506212127,63.345705034702505,PRISM-V2
PRISM-V3a,0.0033727433863635996,0.006415325393088148,0.0035888069348264198,0.006851610873463211,70.54467316622927,55.368568449408706,PRISM-V3a
PRISM-V1,0.007831741883218968,0.007264386525334348,0.008533091439436783,0.007236631884301297,183.23891605600642,25.518011180079625,PRISM-V1
PRISM-V0,0.01182501174478167,0.010604171334507556,0.011952080975491716,0.010872294278493564,161.48339338757643,35.65414597385005,PRISM-V0
