sheet_name,model,note,mae,rmse,mape,directional_accuracy,roi_proxy
abi,persistence,ok,0.0013087223529411763,0.0016482095499698343,10.21853541834807,0.0,0.0
abi,arima,ok,0.0018839605231446917,0.002389485237138058,15.993220854306045,0.47058823529411764,0.006228450953544566
abi,prophet,prophet_fallback_persistence:ModuleNotFoundError,0.001881734117647059,0.0023822453767327802,15.963375894657261,0.4117647058823529,0.005149002067701521
abi,random_forest,ok,0.002484944147058822,0.0030779575524114964,20.955629619048448,0.35294117647058826,-0.033502839125012916
abi,xgboost,xgboost_fallback_gradient_boosting,0.003073667628068027,0.003633713335828206,25.68143767068889,0.35294117647058826,-0.033502839125012916
abi,gru,ok,0.003411648185727519,0.003766220431206616,26.89579519418544,0.23529411764705882,-0.06958956357265565
abi,lstm,ok,0.003411648185727519,0.003766220431206616,26.89579519418544,0.23529411764705882,-0.06958956357265565
ai16z,persistence,ok,0.19572441176470587,0.2370471881480191,27.813423057399312,0.0,0.0
ai16z,arima,ok,0.42357797742419306,0.4748886905445031,71.92410933648061,0.35294117647058826,-0.06259958704143466
ai16z,prophet,prophet_fallback_persistence:ModuleNotFoundError,0.4240862941176471,0.47533059677332196,71.99799928712012,0.29411764705882354,-0.07420829554603163
ai16z,random_forest,ok,0.5605264261764717,0.5875294289707291,89.92276962762912,0.23529411764705882,-0.13043398317320753
ai16z,xgboost,xgboost_fallback_gradient_boosting,0.5850242712861702,0.6165870595539321,94.60951376855736,0.23529411764705882,-0.13043398317320753
ai16z,gru,ok,2.2242566591075694,3.0266429998099773,339.5064306383882,0.47058823529411764,0.019837364057033006
ai16z,lstm,ok,2.2242566591075694,3.0266429998099773,339.5064306383882,0.47058823529411764,0.019837364057033006
aicrystalnode,persistence,ok,7.807058823529413e-06,9.288786408416143e-06,13.595502969783343,0.0,0.0
aicrystalnode,arima,ok,1.5318500973448155e-05,1.765983388965951e-05,29.363115882871245,0.47058823529411764,-0.002901607632472
aicrystalnode,prophet,prophet_fallback_persistence:ModuleNotFoundError,1.6433529411764702e-05,1.8781368270646497e-05,31.40529686975825,0.35294117647058826,-0.03707456386159216
aicrystalnode,random_forest,ok,8.57853852941178e-05,8.881049003341594e-05,155.398921193393,0.29411764705882354,-0.06735709260621926
aicrystalnode,xgboost,xgboost_fallback_gradient_boosting,9.924817607315325e-05,0.0001027922589085461,179.94473754838634,0.29411764705882354,-0.06735709260621926
aicrystalnode,gru,ok,0.010612659123563689,0.01061908946593194,18611.344026602455,0.29411764705882354,-0.06735709260621926
aicrystalnode,lstm,ok,0.010612659123563689,0.01061908946593194,18611.344026602455,0.29411764705882354,-0.06735709260621926
aiinu,persistence,ok,0.0005555076470588236,0.0006734371052645219,6.559552081324843,0.0,0.0
aiinu,arima,ok,0.0016420194372938227,0.0018876526055134548,19.73086899157265,0.17647058823529413,-0.045721076045575126
aiinu,prophet,prophet_fallback_persistence:ModuleNotFoundError,0.0016420194117647065,0.0018876525805426733,19.73086869615694,0.17647058823529413,-0.042987452475665225
aiinu,random_forest,ok,0.0026144538823529508,0.002788078406155371,30.671792622784857,0.058823529411764705,-0.055078683179285014
aiinu,xgboost,xgboost_fallback_gradient_boosting,0.0022286303685481986,0.002450650768617431,26.421675004551084,0.058823529411764705,-0.055078683179285014
aiinu,gru,ok,0.011150413505556874,0.01121216934547086,127.41832384047946,0.058823529411764705,-0.055078683179285014
aiinu,lstm,ok,0.011150413505556874,0.01121216934547086,127.41832384047946,0.058823529411764705,-0.055078683179285014
aiwithdaddyissues,persistence,ok,0.0006452711764705884,0.0007716767496859565,43.37132740371611,0.0,0.0
aiwithdaddyissues,arima,ok,0.0016265549105739558,0.001745033039208541,155.15999110390266,0.23529411764705882,-0.10822292455551774
aiwithdaddyissues,prophet,prophet_fallback_persistence:ModuleNotFoundError,0.0015660823529411766,0.0016898971172199316,150.25565542921825,0.23529411764705882,-0.08030552046676467
aiwithdaddyissues,random_forest,ok,0.002073361650000001,0.002222382605821675,198.28234985854607,0.23529411764705882,-0.10822292455551774
aiwithdaddyissues,xgboost,xgboost_fallback_gradient_boosting,0.00208798492306581,0.0022748645232507072,201.83651094049506,0.23529411764705882,-0.10822292455551774
aiwithdaddyissues,gru,ok,0.011751542262066216,0.012643170425013972,973.2039502985906,0.17647058823529413,-0.1451753523893809
aiwithdaddyissues,lstm,ok,0.011751542262066216,0.012643170425013972,973.2039502985906,0.17647058823529413,-0.1451753523893809
akiprotocol,persistence,ok,0.0010453605882352942,0.0014395614459864464,8.93309753184387,0.0,0.0
akiprotocol,arima,ok,0.0023377832129887733,0.0024076523574658357,20.31363260094968,0.6470588235294118,0.0009722256242443294
akiprotocol,prophet,prophet_fallback_persistence:ModuleNotFoundError,0.002512812352941176,0.0025766488909537014,21.855445926678783,0.5882352941176471,-0.018600792552465068
akiprotocol,random_forest,ok,0.00125812428235294,0.0014573776643271137,10.879010297395576,0.4117647058823529,0.061665651360414964
akiprotocol,xgboost,xgboost_fallback_gradient_boosting,0.0017585904440014421,0.0019974892143935375,15.558284134697104,0.5294117647058824,0.06548352288691062
akiprotocol,gru,ok,0.015711985175550235,0.018520509873644463,138.4583097131289,0.5294117647058824,-0.058744571975691
akiprotocol,lstm,ok,0.015711985175550235,0.018520509873644463,138.4583097131289,0.5294117647058824,-0.058744571975691
amaterasuomikami,persistence,ok,0.004207111764705882,0.005444534627279641,12.310344341682313,0.0,0.0
amaterasuomikami,arima,ok,0.004071810173019792,0.004941576797126338,12.385559410619413,0.7647058823529411,0.09564707293438476
amaterasuomikami,prophet,prophet_fallback_persistence:ModuleNotFoundError,0.004123505882352942,0.004969159855963345,12.58415807163431,0.7058823529411765,0.08314020547959734
amaterasuomikami,random_forest,ok,0.0061591470588235235,0.006902017929650822,19.8479980682787,0.6470588235294118,0.05698686042253773
amaterasuomikami,xgboost,xgboost_fallback_gradient_boosting,0.005028669152691466,0.005733122186729221,16.01868600737524,0.6470588235294118,0.0741463094138604
amaterasuomikami,gru,ok,0.016974788960792884,0.025603260498207332,50.62851162445804,0.47058823529411764,-0.04402470592435287
amaterasuomikami,lstm,ok,0.016974788960792884,0.025603260498207332,50.62851162445804,0.47058823529411764,-0.04402470592435287
americancoin,persistence,ok,2.008823529411765e-06,2.626922825172404e-06,48.84911655671675,0.0,0.0
americancoin,arima,ok,1.6393767641934032e-06,2.4281299196914087e-06,36.50243455907227,0.5882352941176471,0.09814246991659084
americancoin,prophet,prophet_fallback_persistence:ModuleNotFoundError,1.6411764705882356e-06,2.4904712523583826e-06,34.78028810532841,0.5882352941176471,0.03115146298750339
americancoin,random_forest,ok,1.8764904225023339e-06,2.8299384438448637e-06,35.92277064596724,0.6470588235294118,-0.04185873627731513
americancoin,xgboost,xgboost_fallback_gradient_boosting,1.9161341343007663e-06,2.8694956644506175e-06,36.61852837876608,0.7058823529411765,-0.026678470622666185
americancoin,gru,ok,1.112163628989895,1.5056568511161181,44503735.99556631,0.6470588235294118,0.053239946396255504
americancoin,lstm,ok,1.112163628989895,1.5056568511161181,44503735.99556631,0.6470588235294118,0.053239946396255504
analos,persistence,ok,2.543529411764706e-06,3.8962621605237775e-06,11.822734911948123,0.0,0.0
analos,arima,ok,4.307058823589584e-06,4.848517056533496e-06,22.168229123434788,0.29411764705882354,-0.008130360802307324
analos,prophet,prophet_fallback_persistence:ModuleNotFoundError,4.307058823529411e-06,4.848517056488388e-06,22.168229123113303,0.29411764705882354,0.0012633198125517658
analos,random_forest,ok,3.3826492156862775e-06,4.447531601185884e-06,17.585763089581132,0.47058823529411764,0.02824119989715032
