seed,sheet_name,variant,mae,rmse,mape,directional_accuracy,roi_proxy
11,abi,V0,0.007323495885077449,0.00758785900790265,58.66855495244586,0.29411764705882354,-0.04825502065331623
11,abi,V1,0.03554539940350477,0.03958968295117732,276.28274762269297,0.5294117647058824,-0.015811808392409817
11,abi,V2,0.0045200497337843275,0.004809621898748562,36.41662641658856,0.29411764705882354,-0.04825502065331623
11,abi,V3,1535.1109156605964,1584.7085460965802,11444228.573265342,0.7058823529411765,0.04825502065331623
11,ai16z,V0,0.22379331595944355,0.2497577536157394,37.2317395175104,0.4117647058823529,-0.029121829348166994
11,ai16z,V1,0.20955576026018174,0.23583818783863472,35.21364427946768,0.4117647058823529,-0.012798766869404846
11,ai16z,V2,0.47105183482578333,0.5028638397769406,66.40595055153855,0.29411764705882354,-0.0858170040506286
11,ai16z,V3,1952206.510523364,2210137.952791536,248654268.543556,0.8235294117647058,0.16740522235804953
11,aicrystalnode,V0,0.0049484958831485975,0.004948505720704388,8699.084440543562,0.29411764705882354,-0.06735709260621926
11,aicrystalnode,V1,0.042442262004658914,0.043631152191345154,72870.6650459003,0.7058823529411765,0.06735709260621926
11,aicrystalnode,V2,0.0004567613526612868,0.0004588239413372155,810.5318420842681,0.29411764705882354,-0.06735709260621926
11,aicrystalnode,V3,12.287063891626318,15.912948391742802,20501627.563015506,0.7058823529411765,0.06735709260621926
11,aiinu,V0,0.010072851188237449,0.010121180312247683,115.16279428713419,0.058823529411764705,-0.055078683179285014
11,aiinu,V1,0.029886031766807146,0.03327672351292153,341.2838730976474,0.9411764705882353,0.055078683179285014
11,aiinu,V2,0.007342205962867825,0.007412962536651655,84.25442667518985,0.058823529411764705,-0.055078683179285014
11,aiinu,V3,141.78608959441019,157.45448649563767,1559041.9825183116,0.9411764705882353,0.055078683179285014
11,aiwithdaddyissues,V0,0.0013613795632383288,0.0015064787982407095,133.9405865718585,0.29411764705882354,-0.05238811637801161
